Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Fund Transfer Stress Test,200,2709,2498,4143,240.73,0.000%,1.63777,23.06,9.76,14417.6
TOTAL,200,2709,2498,4143,240.73,0.000%,1.63777,23.06,9.76,14417.6
